Team	TeamScore	SOT	SOTstd	SOFT	SOFTstd	CRS	CRSstd	LSS	LSSstd
1	75	100.09	15.5	94.970	19.6	97.490	18.1	84.468	20.2
2	78	103.376	17.4	99.034	13.8	93.351	17.1	88.752	20.2
82	62	82.902	24.1	97.758	23.1	91.876	22.4	81.663	25.1
3	69	100.649	26.6	87.894	20.4	94.535	20.2	89.178	21.8
139	63	97.945	15.7	98.088	22.5	98.100	13.2	88.576	19.2
74	49	104.055	27.0	94.387	21.0	106.477	22.9	91.020	22.3
129	45	74.103	20.9	99.922	18.2	100.960	15.2	86.752	20.3
90	57	93.927	20.1	101.575	19.5	99.727	23.7	88.177	20.8
93	44	110.002	15.8	104.958	14.4	106.696	16.7	91.840	19.0
105	38	102.537	26.1	96.997	24.0	93.243	20.2	88.745	22.5
11	44	103.388	24.8	111.160	27.4	112.051	34.4	94.068	26.1
13	55	90.701	13.0	109.237	26.9	99.004	14.0	88.267	18.7
42	43	95.188	23.2	95.255	24.8	99.089	24.8	83.518	22.4
21	40	110.974	48.9	93.966	23.3	105.531	23.8	107.535	39.9
101	38	106.446	21.7	98.148	19.6	81.682	12.0	89.942	21.3
46	49	95.321	20.2	90.525	23.8	88.515	30.1	78.725	23.8
15659	37	69.823	20.0	88.842	23.0	92.994	22.9	72.929	16.3
19	20	82.925	17.1	90.654	20.7	100.553	20.3	83.523	19.6
